Tap_01,Tap_02,Tap_03,Tap_04,Tap_05,Tap_06,Tap_07,Tap_08,Tap_09,Tap_10,Tap_11,Tap_12,Tap_13,Tap_14,Tap_15,Tap_16,Tap_17,Tap_18,Tap_19,Tap_20,Tap_21,Tap_22,Tap_23,Tap_24,Tap_25
-61.45689,-64.16652,-68.65384,-75.08766,-92.82441,-112.0616,-121.7907,-135.2899,-143.4194,-157.0247,-186.9697,-205.3731,-213.1551,-208.0927,-177.8878,-64.43075,-58.43806,-54.96658,-55.49152,-55.88811,-56.86797,-58.02834,-57.76025,-55.99717,-48.54637
-62.10943,-65.0432,-69.45189,-75.85085,-93.54568,-112.703,-122.6487,-136.2168,-144.4254,-157.5876,-188.043,-206.4377,-214.1915,-209.1373,-178.8993,-64.19155,-58.34315,-54.97766,-55.48048,-55.89897,-56.82576,-57.92825,-57.71438,-55.91266,-48.48116
-61.64944,-64.32496,-68.84538,-75.25268,-93.12583,-112.3225,-122.0188,-135.5005,-143.6626,-157.4108,-187.2299,-205.6472,-213.4059,-208.2796,-178.0248,-63.58269,-58.03736,-54.83604,-55.40316,-55.83395,-56.81532,-57.9501,-57.69423,-55.89156,-48.49212
-61.82035,-64.71577,-69.24972,-75.73741,-93.38421,-112.6378,-122.464,-136.0377,-144.1601,-157.1459,-187.7611,-206.1637,-213.8969,-208.8294,-178.5937,-64.13732,-58.34327,-54.96889,-55.45839,-55.90971,-56.9314,-58.09386,-57.89044,-56.13431,-48.71998
-62.55847,-65.58188,-70.04777,-76.42841,-94.18082,-113.4423,-123.3737,-136.8594,-144.9119,-158.1503,-188.8778,-207.3337,-215.1407,-210.1159,-179.8791,-63.96336,-58.22717,-54.93568,-55.50257,-55.90982,-56.86808,-58.01741,-57.74924,-55.97607,-48.53552
-61.80965,-64.69477,-68.93037,-75.53128,-93.34113,-112.7247,-122.6487,-136.122,-144.3371,-157.1901,-188.1949,-206.7855,-214.5951,-209.4672,-179.0784,-64.23517,-58.41708,-55.06624,-55.55779,-55.9858,-56.95238,-58.13577,-57.94546,-56.1975,-48.77413
-62.31256,-65.14896,-69.71777,-76.27385,-93.97613,-113.3553,-123.2351,-136.7646,-144.8898,-158.0841,-188.8344,-207.3863,-215.1626,-210.0829,-179.7106,-64.01759,-58.24825,-55.05746,-55.64616,-56.12702,-57.12135,-58.29041,-58.0463,-56.28189,-48.79583
-62.1521,-65.25458,-69.55817,-76.12946,-93.83618,-113.1379,-123.2025,-136.6066,-144.9451,-157.4771,-188.8669,-207.3652,-215.1626,-210.0718,-179.6895,-64.7678,-58.89147,-55.45603,-55.92229,-56.33314,-57.26896,-58.42145,-58.15453,-56.33475,-48.85019
-61.82048,-64.86377,-69.43048,-75.90257,-93.68549,-113.0618,-122.9527,-136.4275,-144.5914,-157.9296,-188.5959,-207.1649,-215.0317,-209.9838,-179.6157,-64.30028,-58.40643,-55.01318,-55.54675,-55.9641,-56.9525,-58.11393,-57.87027,-56.1342,-48.73073
-61.76699,-64.3779,-69.06869,-75.63441,-93.30871,-112.5943,-122.5183,-136.0588,-144.2376,-158.0289,-188.1948,-206.6485,-214.508,-209.3681,-178.973,-63.58282,-57.88974,-54.69211,-55.23737,-55.69274,-56.66758,-57.82086,-57.56221,-55.79673,-48.4053
